Empresa,Departamento,Mod_contract,Fecha,Lineas
America Movil Peru S.A.C.,NA,NA,1994-12-01,NA
Comunicaciones Moviles,NA,NA,1994-12-01,22000
Nextel del Peru S.A.,NA,NA,1994-12-01,NA
Telefonica Moviles S.A.,NA,NA,1994-12-01,30000
America Movil Peru S.A.C.,NA,NA,1995-12-01,NA
Comunicaciones Moviles,NA,NA,1995-12-01,32000
Nextel del Peru S.A.,NA,NA,1995-12-01,NA
Telefonica Moviles S.A.,NA,NA,1995-12-01,43397
America Movil Peru S.A.C.,NA,NA,1996-12-01,NA
Comunicaciones Moviles,NA,NA,1996-12-01,71000
Nextel del Peru S.A.,NA,NA,1996-12-01,NA
Telefonica Moviles S.A.,NA,NA,1996-12-01,130895
America Movil Peru S.A.C.,NA,NA,1997-12-01,NA
Comunicaciones Moviles,NA,NA,1997-12-01,116000
Nextel del Peru S.A.,NA,NA,1997-12-01,NA
Telefonica Moviles S.A.,NA,NA,1997-12-01,319706
America Movil Peru S.A.C.,NA,NA,1998-12-01,NA
Comunicaciones Moviles,NA,NA,1998-12-01,230796
Nextel del Peru S.A.,NA,NA,1998-12-01,503
Telefonica Moviles S.A.,NA,NA,1998-12-01,504995
America Movil Peru S.A.C.,NA,NA,1999-12-01,NA
Comunicaciones Moviles,NA,NA,1999-12-01,314107
Nextel del Peru S.A.,NA,NA,1999-12-01,19486
Telefonica Moviles S.A.,NA,NA,1999-12-01,712117
America Movil Peru S.A.C.,NA,NA,2000-12-01,NA
Comunicaciones Moviles,NA,NA,2000-12-01,373091
Nextel del Peru S.A.,NA,NA,2000-12-01,68403
Telefonica Moviles S.A.,NA,NA,2000-12-01,898173
Telefonica del Peru S.A.A.,NA,postpago,2001-01-01,213723
Comunicaciones Moviles,NA,postpago,2001-01-01,117856
Nextel del Peru S.A.,NA,postpago,2001-01-01,72656
America Movil Peru S.A.C.,NA,postpago,2001-01-01,NA
Telefonica del Peru S.A.A.,NA,control,2001-01-01,NA
Comunicaciones Moviles,NA,control,2001-01-01,NA
Nextel del Peru S.A.,NA,control,2001-01-01,NA
America Movil Peru S.A.C.,NA,control,2001-01-01,NA
Telefonica del Peru S.A.A.,NA,prepago,2001-01-01,688183
Comunicaciones Moviles,NA,prepago,2001-01-01,259066
Nextel del Peru S.A.,NA,prepago,2001-01-01,NA
America Movil Peru S.A.C.,NA,prepago,2001-01-01,3796
Telefonica del Peru S.A.A.,NA,postpago,2001-02-01,210799
Comunicaciones Moviles,NA,postpago,2001-02-01,117809
Nextel del Peru S.A.,NA,postpago,2001-02-01,76256
America Movil Peru S.A.C.,NA,postpago,2001-02-01,NA
Telefonica del Peru S.A.A.,NA,control,2001-02-01,NA
Comunicaciones Moviles,NA,control,2001-02-01,NA
Nextel del Peru S.A.,NA,control,2001-02-01,NA
America Movil Peru S.A.C.,NA,control,2001-02-01,NA
Telefonica del Peru S.A.A.,NA,prepago,2001-02-01,698723
