Sexo,Tipo,Edad,Valor
Hombre,Previo,Joven,90
Mujer,Previo,Joven,82
Hombre,Previo,Joven,80
Hombre,Previo,Joven,75
Hombre,Previo,Joven,74
Hombre,Previo,Joven,97
Mujer,Previo,Joven,76
Mujer,Previo,Joven,89
Hombre,Previo,Joven,83
Hombre,Previo,Joven,77
Hombre,Previo,Joven,113
Hombre,Previo,Joven,103
Hombre,Previo,Joven,100
Hombre,Previo,Joven,94
Hombre,Previo,Joven,93
Hombre,Previo,Joven,121
Hombre,Previo,Joven,95
Hombre,Previo,Joven,111
Hombre,Previo,Joven,104
Hombre,Previo,Joven,96
Hombre,Previo,Joven,72
Mujer,Previo,Joven,68
Mujer,Previo,Joven,67
Mujer,Previo,Joven,87
Mujer,Previo,Joven,68
Mujer,Previo,Joven,80
Mujer,Previo,Joven,75
Mujer,Previo,Joven,69
Mujer,Previo,Joven,102
Mujer,Previo,Joven,93
Hombre,Previo,Joven,90
Hombre,Previo,Joven,85
Hombre,Previo,Joven,84
Hombre,Previo,Joven,66
Hombre,Previo,Joven,76
Hombre,Previo,Joven,71
Hombre,Previo,Joven,67
Hombre,Previo,Joven,95
Hombre,Previo,Joven,87
Hombre,Previo,Joven,85
Hombre,Previo,Joven,80
Hombre,Previo,Joven,79
Hombre,Previo,Joven,102
Mujer,Previo,Joven,81
Mujer,Previo,Joven,94
Mujer,Previo,Joven,88
Mujer,Previo,Joven,82
Mujer,Previo,Joven,63
Mujer,Previo,Joven,59
Mujer,Previo,Joven,59
Mujer,Previo,Joven,99
Mujer,Previo,Joven,90
Mujer,Previo,Joven,88
Mujer,Previo,Joven,83
Mujer,Previo,Joven,81
Hombre,Previo,Joven,107
Hombre,Previo,Joven,84
Mujer,Previo,Joven,98
Mujer,Previo,Joven,91
Hombre,Previo,Joven,85
Hombre,Previo,Joven,124
Mujer,Previo,Joven,113
Mujer,Previo,Joven,71
Mujer,Previo,Joven,83
Mujer,Previo,Joven,78
Hombre,Previo,Joven,72
Hombre,Previo,Joven,105
