"","arbol","fraccion","peso"
"1",1,"fuste",24.96691
"2",1,"r.delgada",75.93382
"3",1,"r.gruesa",17.81001
"4",2,"fuste",5.81001
"5",2,"r.delgada",54.2695
"6",3,"fuste",20.96691
"7",3,"r.delgada",122.90073
"8",3,"r.gruesa",49.93382
"9",4,"fuste",52.43003
"10",4,"r.delgada",159.86764
"11",4,"r.gruesa",93.43003
"12",5,"fuste",42.96691
"13",5,"r.delgada",16.96691
"14",6,"fuste",17.81001
"15",6,"r.delgada",24.96691
"16",7,"fuste",15.81001
"17",7,"r.delgada",66.93382
"18",7,"r.gruesa",48.77692
"19",8,"fuste",37.43003
"20",8,"r.delgada",45.93382
"21",8,"r.gruesa",19.81001
"22",9,"fuste",32.96691
"23",9,"r.delgada",69.93382
"24",9,"r.gruesa",71.93382
"25",10,"fuste",41.62002
"26",10,"r.delgada",175.48766
"27",10,"r.gruesa",64.77692
"28",11,"fuste",99.1126
"29",11,"r.delgada",354.00841
"30",11,"r.gruesa",189.72558
"31",12,"fuste",59.25125
"32",12,"r.delgada",389.10276
"33",12,"r.gruesa",131.74383
"34",13,"fuste",93.24004
"35",13,"r.delgada",172.83455
"36",13,"r.gruesa",293.10768
"37",14,"fuste",61.62002
"38",14,"r.delgada",143.86764
"39",14,"r.gruesa",158.71074
"40",15,"fuste",33.62002
"41",15,"r.delgada",89.93382
"42",15,"r.gruesa",44.96691
"43",16,"fuste",380.17023
"44",16,"r.delgada",336.70219
"45",16,"r.gruesa",532.61435
"46",17,"fuste",374.22157
"47",17,"r.delgada",409.71915
"48",17,"r.gruesa",503.68394
"49",18,"fuste",396.67765
"50",18,"r.delgada",572.31366
"51",18,"r.gruesa",965.47056
"52",19,"fuste",646.95056
"53",19,"r.delgada",946.50085
"54",19,"r.gruesa",1611.65412
"55",20,"fuste",1522.98094
"56",20,"r.delgada",1951.48512
"57",20,"r.gruesa",1761.52615
"58",21,"fuste",413.22498
"59",21,"r.delgada",216.07459
"60",21,"r.gruesa",419.89922
"61",22,"fuste",107.09435
"62",22,"r.delgada",243.80146
"63",22,"r.gruesa",283.29767
"64",23,"fuste",45.62002
"65",23,"r.delgada",207.80146
"66",23,"r.gruesa",120.05005
"67",24,"fuste",87.28434
"68",24,"r.delgada",132.86764
"69",24,"r.gruesa",164.90073
"70",25,"fuste",38.96691
"71",25,"r.delgada",86.90073
"72",25,"r.gruesa",32.96691
"73",26,"fuste",29.81001
"74",26,"r.delgada",45.62002
"75",26,"r.gruesa",51.62002
"76",27,"fuste",17.81001
"77",27,"r.delgada",30.96691
"78",27,"r.gruesa",24.96691
"79",28,"fuste",28.62002
"80",28,"r.delgada",121.36385
"81",28,"r.gruesa",78.58693
"82",29,"fuste",31.81001
"83",29,"r.delgada",30.96691
"84",29,"r.gruesa",46.96691
"85",30,"fuste",214.87127
"86",30,"r.delgada",289.81842
"87",30,"r.gruesa",217.86764
