Empresa,Departamento,Modalidad Contractual,Mes,Líneas
América Móvil Perú S.A.C.,NA,NA,Dic-94,-
Comunicaciones Móviles,NA,NA,Dic-94,22000
Nextel del Perú S.A.,NA,NA,Dic-94,-
Telefónica Móviles S.A.,NA,NA,Dic-94,30000
América Móvil Perú S.A.C.,NA,NA,Dic-95,-
Comunicaciones Móviles,NA,NA,Dic-95,32000
Nextel del Perú S.A.,NA,NA,Dic-95,-
Telefónica Móviles S.A.,NA,NA,Dic-95,43397
América Móvil Perú S.A.C.,NA,NA,Dic-96,-
Comunicaciones Móviles,NA,NA,Dic-96,71000
Nextel del Perú S.A.,NA,NA,Dic-96,-
Telefónica Móviles S.A.,NA,NA,Dic-96,130895
América Móvil Perú S.A.C.,NA,NA,Dic-97,-
Comunicaciones Móviles,NA,NA,Dic-97,116000
Nextel del Perú S.A.,NA,NA,Dic-97,-
Telefónica Móviles S.A.,NA,NA,Dic-97,319706
América Móvil Perú S.A.C.,NA,NA,Dic-98,-
Comunicaciones Móviles,NA,NA,Dic-98,230796
Nextel del Perú S.A.,NA,NA,Dic-98,503
Telefónica Móviles S.A.,NA,NA,Dic-98,504995
América Móvil Perú S.A.C.,NA,NA,Dic-99,-
Comunicaciones Móviles,NA,NA,Dic-99,314107
Nextel del Perú S.A.,NA,NA,Dic-99,19486
Telefónica Móviles S.A.,NA,NA,Dic-99,712117
América Móvil Perú S.A.C.,NA,NA,Dic-00,-
Comunicaciones Móviles,NA,NA,Dic-00,373091
Nextel del Perú S.A.,NA,NA,Dic-00,68403
Telefónica Móviles S.A.,NA,NA,Dic-00,898173
Telefónica del Perú S.A.A.,NA,Postpago,Ene-01,213723
Comunicaciones Móviles,NA,Postpago,Ene-01,117856
Nextel del Perú S.A.,NA,Postpago,Ene-01,72656
América Móvil Perú S.A.C.,NA,Postpago,Ene-01,-
Telefónica del Perú S.A.A.,NA,Control,Ene-01,-
Comunicaciones Móviles,NA,Control,Ene-01,-
Nextel del Perú S.A.,NA,Control,Ene-01,-
América Móvil Perú S.A.C.,NA,Control,Ene-01,-
Telefónica del Perú S.A.A.,NA,Prepago,Ene-01,688183
Comunicaciones Móviles,NA,Prepago,Ene-01,259066
Nextel del Perú S.A.,NA,Prepago,Ene-01,-
América Móvil Perú S.A.C.,NA,Prepago,Ene-01,3796
Telefónica del Perú S.A.A.,NA,Postpago,Feb-01,210799
Comunicaciones Móviles,NA,Postpago,Feb-01,117809
Nextel del Perú S.A.,NA,Postpago,Feb-01,76256
América Móvil Perú S.A.C.,NA,Postpago,Feb-01,-
Telefónica del Perú S.A.A.,NA,Control,Feb-01,-
Comunicaciones Móviles,NA,Control,Feb-01,-
Nextel del Perú S.A.,NA,Control,Feb-01,-
América Móvil Perú S.A.C.,NA,Control,Feb-01,-
Telefónica del Perú S.A.A.,NA,Prepago,Feb-01,698723
Comunicaciones Móviles,NA,Prepago,Feb-01,262751
Nextel del Perú S.A.,NA,Prepago,Feb-01,-
América Móvil Perú S.A.C.,NA,Prepago,Feb-01,19336
Telefónica del Perú S.A.A.,NA,Postpago,Mar-01,209449
Comunicaciones Móviles,NA,Postpago,Mar-01,119165
Nextel del Perú S.A.,NA,Postpago,Mar-01,81487
América Móvil Perú S.A.C.,NA,Postpago,Mar-01,-
Telefónica del Perú S.A.A.,NA,Control,Mar-01,-
Comunicaciones Móviles,NA,Control,Mar-01,-
Nextel del Perú S.A.,NA,Control,Mar-01,-
América Móvil Perú S.A.C.,NA,Control,Mar-01,-
Telefónica del Perú S.A.A.,NA,Prepago,Mar-01,712046
Comunicaciones Móviles,NA,Prepago,Mar-01,269734
Nextel del Perú S.A.,NA,Prepago,Mar-01,-
América Móvil Perú S.A.C.,NA,Prepago,Mar-01,30956
Telefónica del Perú S.A.A.,NA,Postpago,Abr-01,206840
Comunicaciones Móviles,NA,Postpago,Abr-01,118653
Nextel del Perú S.A.,NA,Postpago,Abr-01,85054
América Móvil Perú S.A.C.,NA,Postpago,Abr-01,-
Telefónica del Perú S.A.A.,NA,Control,Abr-01,-
Comunicaciones Móviles,NA,Control,Abr-01,-
Nextel del Perú S.A.,NA,Control,Abr-01,-
América Móvil Perú S.A.C.,NA,Control,Abr-01,-
Telefónica del Perú S.A.A.,NA,Prepago,Abr-01,731494
Comunicaciones Móviles,NA,Prepago,Abr-01,255436
Nextel del Perú S.A.,NA,Prepago,Abr-01,-
América Móvil Perú S.A.C.,NA,Prepago,Abr-01,48648
Telefónica del Perú S.A.A.,NA,Postpago,May-01,207304
Comunicaciones Móviles,NA,Postpago,May-01,122556
Nextel del Perú S.A.,NA,Postpago,May-01,88076
América Móvil Perú S.A.C.,NA,Postpago,May-01,-
Telefónica del Perú S.A.A.,NA,Control,May-01,-
Comunicaciones Móviles,NA,Control,May-01,-
Nextel del Perú S.A.,NA,Control,May-01,-
América Móvil Perú S.A.C.,NA,Control,May-01,-
Telefónica del Perú S.A.A.,NA,Prepago,May-01,751484
Comunicaciones Móviles,NA,Prepago,May-01,263134
Nextel del Perú S.A.,NA,Prepago,May-01,-
América Móvil Perú S.A.C.,NA,Prepago,May-01,57035
Telefónica del Perú S.A.A.,NA,Postpago,Jun-01,206159
Comunicaciones Móviles,NA,Postpago,Jun-01,125726
Nextel del Perú S.A.,NA,Postpago,Jun-01,90481
América Móvil Perú S.A.C.,NA,Postpago,Jun-01,-
Telefónica del Perú S.A.A.,NA,Control,Jun-01,-
Comunicaciones Móviles,NA,Control,Jun-01,-
Nextel del Perú S.A.,NA,Control,Jun-01,-
América Móvil Perú S.A.C.,NA,Control,Jun-01,-
Telefónica del Perú S.A.A.,NA,Prepago,Jun-01,766906
Comunicaciones Móviles,NA,Prepago,Jun-01,275838
Nextel del Perú S.A.,NA,Prepago,Jun-01,-
América Móvil Perú S.A.C.,NA,Prepago,Jun-01,71526
Telefónica del Perú S.A.A.,NA,Postpago,Jul-01,206470
Comunicaciones Móviles,NA,Postpago,Jul-01,123548
Nextel del Perú S.A.,NA,Postpago,Jul-01,94417
América Móvil Perú S.A.C.,NA,Postpago,Jul-01,413
Telefónica del Perú S.A.A.,NA,Control,Jul-01,-
Comunicaciones Móviles,NA,Control,Jul-01,-
Nextel del Perú S.A.,NA,Control,Jul-01,-
América Móvil Perú S.A.C.,NA,Control,Jul-01,-
Telefónica del Perú S.A.A.,NA,Prepago,Jul-01,783868
Comunicaciones Móviles,NA,Prepago,Jul-01,275575
Nextel del Perú S.A.,NA,Prepago,Jul-01,-
América Móvil Perú S.A.C.,NA,Prepago,Jul-01,83252
Telefónica del Perú S.A.A.,NA,Postpago,Ago-01,208309
Comunicaciones Móviles,NA,Postpago,Ago-01,123092
Nextel del Perú S.A.,NA,Postpago,Ago-01,98735
América Móvil Perú S.A.C.,NA,Postpago,Ago-01,835
Telefónica del Perú S.A.A.,NA,Control,Ago-01,-
Comunicaciones Móviles,NA,Control,Ago-01,-
Nextel del Perú S.A.,NA,Control,Ago-01,-
América Móvil Perú S.A.C.,NA,Control,Ago-01,-
Telefónica del Perú S.A.A.,NA,Prepago,Ago-01,802518
Comunicaciones Móviles,NA,Prepago,Ago-01,275666
Nextel del Perú S.A.,NA,Prepago,Ago-01,-
América Móvil Perú S.A.C.,NA,Prepago,Ago-01,94834
Telefónica del Perú S.A.A.,NA,Postpago,Set-01,210254
Comunicaciones Móviles,NA,Postpago,Set-01,122848
Nextel del Perú S.A.,NA,Postpago,Set-01,102736
América Móvil Perú S.A.C.,NA,Postpago,Set-01,1989
Telefónica del Perú S.A.A.,NA,Control,Set-01,-
Comunicaciones Móviles,NA,Control,Set-01,-
Nextel del Perú S.A.,NA,Control,Set-01,-
América Móvil Perú S.A.C.,NA,Control,Set-01,-
Telefónica del Perú S.A.A.,NA,Prepago,Set-01,818008
Comunicaciones Móviles,NA,Prepago,Set-01,275660
